Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
39,510,no,yes,7,143.8,46,37.22,210.7,17,18.67,248.6,81,12.45,2.5,13,4.88,8,0
126,408,no,yes,18,194.3,88,36.25,123.5,16,26.48,135.5,22,10.29,3.1,3,3.73,4,1
195,510,no,yes,46,85.2,11,11.09,37.6,51,3.03,169.3,65,11.53,15.8,13,3.44,0,0
173,415,no,yes,47,18.3,12,55.68,66.7,55,25.49,220.4,1,14.72,5.5,9,0.91,4,0
141,510,no,yes,29,328.7,136,24.16,125.5,92,23.96,331.5,154,14.86,13.7,10,1.42,5,0
242,408,no,no,21,65.3,58,1.5,292.7,8,15.11,301.3,62,14.63,1.9,0,3.03,5,0
220,408,no,yes,8,69.4,42,12.97,63.1,144,9.27,46.9,4,2.6,16.4,13,3.98,4,0
126,415,no,yes,43,165.4,73,40.83,39.8,26,12.16,97.0,128,4.27,19.8,7,4.66,7,1
58,415,no,yes,47,172.1,22,11.9,187.3,36,29.06,10.5,149,8.54,7.5,5,3.49,4,0
148,510,no,no,3,6.5,78,3.18,202.8,21,6.05,3.1,73,6.1,10.1,10,2.09,2,0
220,510,no,no,36,51.8,22,36.44,32.8,71,17.39,88.6,108,2.24,8.9,13,3.46,2,0
200,408,no,no,7,132.4,100,30.58,103.3,165,2.5,315.7,23,4.89,17.9,6,0.35,3,0
61,415,no,no,0,239.3,161,44.91,95.4,98,6.54,357.4,58,16.58,0.2,6,3.0,7,0
127,415,no,no,27,79.9,143,45.59,67.6,71,22.9,154.7,22,5.9,13.1,18,4.47,8,0
105,415,no,no,5,148.1,108,56.64,114.6,122,9.08,222.5,145,7.12,13.0,9,3.18,6,1
167,510,no,yes,46,195.1,110,3.36,13.5,90,29.57,278.9,88,0.11,7.6,8,0.04,1,0
1,415,no,no,35,311.0,159,2.3,236.5,35,15.02,376.4,21,12.23,4.4,17,3.47,8,0
131,408,yes,no,10,114.1,16,58.24,358.8,97,15.5,360.6,43,7.03,4.8,16,3.63,5,0
205,408,no,no,4,46.7,85,38.05,230.2,152,1.09,22.6,43,1.75,16.0,12,2.71,5,1
92,510,no,yes,49,171.2,38,42.21,131.1,41,28.7,98.0,36,16.47,1.3,3,4.08,5,0
190,510,no,no,23,261.4,40,5.69,242.5,110,5.23,19.4,6,13.22,11.3,6,1.01,0,0
191,415,no,yes,46,38.5,47,4.12,207.5,12,16.15,243.5,23,12.34,6.1,7,2.04,8,0
113,510,no,yes,17,148.6,155,9.45,307.4,78,11.87,280.6,168,16.28,5.3,15,4.04,5,0
153,408,no,no,19,6.2,76,25.2,225.7,117,12.47,121.8,69,6.93,10.1,11,3.02,6,0
56,415,no,no,27,11.7,0,6.5,230.2,51,19.3,337.3,70,12.22,18.0,0,4.97,0,1
161,408,no,no,12,169.0,116,26.33,80.5,160,19.86,178.9,145,3.51,12.4,5,0.35,4,0
166,415,no,no,4,104.4,18,33.13,150.9,94,4.63,394.4,71,11.85,15.8,0,1.22,2,0
117,510,no,yes,29,295.8,58,0.02,125.0,152,14.99,0.2,59,0.24,12.0,7,1.0,8,1
134,415,no,yes,0,210.8,106,6.74,4.1,111,23.71,43.2,44,2.15,14.0,11,4.88,1,0
58,415,no,yes,21,158.9,137,22.14,113.7,57,13.3,119.2,136,7.23,8.6,15,4.35,3,0
44,408,no,no,17,142.8,27,3.15,176.4,167,4.97,10.1,115,0.21,18.5,0,0.67,2,0
173,408,no,yes,45,174.0,33,7.88,217.7,86,9.4,309.0,153,7.85,10.0,3,1.77,8,1
160,415,no,yes,4,14.2,38,13.68,339.2,165,6.37,20.8,153,8.89,11.0,18,0.26,2,0
173,510,no,no,30,312.5,125,25.35,86.8,2,3.77,295.8,29,10.57,10.5,17,3.16,0,0
61,510,no,yes,5,349.4,82,42.18,55.3,115,11.33,20.8,26,1.71,6.3,7,1.66,7,0
47,408,no,no,26,63.5,105,7.83,315.6,15,16.23,99.8,131,3.08,4.6,5,1.29,0,0
149,510,no,no,24,42.1,109,43.54,341.9,129,2.18,332.3,82,10.43,1.5,12,2.62,0,0
80,408,no,no,28,50.3,120,50.45,177.1,22,18.11,375.7,97,11.19,14.4,19,3.98,6,0
118,510,no,no,27,231.4,106,38.44,41.8,97,29.79,163.7,69,0.44,5.8,2,2.02,8,1
213,415,no,no,15,231.5,130,2.58,176.2,157,28.92,383.1,78,9.19,7.8,14,3.79,3,0
203,408,no,yes,11,296.8,22,26.0,39.7,9,24.88,247.6,137,13.34,18.4,5,2.23,3,0
229,408,no,no,19,263.1,144,38.94,320.6,64,7.99,164.3,117,1.17,11.3,5,1.07,4,1
164,415,no,no,17,157.4,70,57.73,257.1,21,0.67,317.1,105,7.02,1.9,4,2.23,4,1
227,408,yes,yes,33,214.5,153,56.16,87.5,51,25.01,116.7,35,5.55,16.0,18,2.69,1,0
147,510,no,yes,22,240.9,106,23.35,321.9,110,1.67,105.0,45,15.53,5.1,9,2.31,8,0
20,510,no,no,44,179.5,145,36.34,231.6,160,6.17,259.3,103,3.16,11.1,8,1.37,8,1
185,408,yes,no,26,166.5,45,52.56,346.0,79,16.33,154.2,133,5.41,10.2,13,0.93,8,1
146,510,no,no,48,225.8,69,49.03,355.9,157,5.35,53.7,107,15.27,4.8,4,4.73,8,0
47,408,no,no,16,195.1,30,28.29,1.2,151,25.01,26.5,103,5.62,2.3,6,1.49,0,0
233,415,no,yes,47,225.4,92,15.41,43.6,132,23.31,311.2,69,9.03,4.2,16,3.53,7,0
49,408,yes,no,20,214.5,136,8.09,198.5,52,22.67,267.0,88,0.56,1.9,16,1.7,7,1
14,415,no,no,49,251.7,117,28.79,347.0,22,24.48,162.7,2,16.74,5.5,8,4.85,3,0
143,510,no,yes,39,225.0,162,42.65,360.9,105,6.59,354.0,41,14.02,19.9,6,4.94,0,0
159,415,yes,no,30,181.9,80,57.22,206.0,90,21.87,162.3,109,10.78,8.0,0,4.13,0,0
1,510,no,no,2,238.6,59,50.85,63.1,118,10.66,280.6,166,1.03,17.3,1,2.91,0,0
117,408,yes,no,16,157.3,75,12.05,59.2,137,20.01,359.1,117,1.27,11.0,9,2.71,2,0
54,510,no,yes,49,84.6,62,42.47,277.3,119,3.66,332.1,54,9.26,13.3,18,1.64,2,0
118,408,no,no,25,0.5,99,17.06,214.9,160,21.17,201.9,138,4.85,3.1,7,0.61,3,1
3,408,no,no,22,196.0,47,40.32,199.2,92,29.16,268.9,113,10.59,5.5,8,0.4,1,0
144,415,no,no,5,206.7,151,39.28,169.1,61,1.31,163.4,29,10.17,10.2,14,2.33,8,1
215,415,no,no,27,340.2,73,16.07,263.2,81,2.81,255.6,107,14.26,17.6,10,4.89,8,1
185,415,no,yes,7,126.5,57,13.83,311.5,154,3.71,101.7,80,4.78,0.9,11,1.23,6,0
203,415,no,no,44,137.9,29,6.13,110.0,6,12.92,171.7,156,9.82,10.1,17,2.05,1,0
12,510,no,no,7,70.6,156,2.98,80.2,99,8.72,82.8,16,13.22,1.0,1,3.21,2,0
74,510,no,yes,18,24.7,9,50.65,243.3,154,24.21,15.1,32,8.34,9.1,14,1.76,7,0
224,510,no,no,37,270.5,38,2.94,332.0,73,14.21,232.5,101,14.12,12.6,9,0.02,8,1
16,408,no,no,28,87.4,54,5.24,126.4,137,14.54,341.4,20,2.23,14.9,6,1.98,3,0
200,510,no,no,22,213.1,27,14.09,98.9,56,21.51,10.1,110,12.48,2.8,8,4.02,8,1
102,510,no,yes,46,240.7,145,52.37,82.1,29,10.86,77.4,9,16.03,3.3,16,4.72,3,1
204,510,no,no,31,164.9,117,19.64,92.4,2,10.6,181.8,102,5.64,9.4,13,1.38,1,0
152,415,no,no,9,306.7,113,11.32,49.0,156,22.71,263.0,38,6.23,20.0,8,4.61,6,1
156,510,no,no,26,155.3,74,42.22,216.6,13,23.4,67.6,77,1.42,7.1,6,4.34,8,0
117,408,no,no,48,99.7,64,18.83,101.9,76,0.43,22.4,174,10.91,8.6,14,2.03,1,0
8,415,no,no,0,313.6,80,19.67,223.2,82,4.31,205.0,85,9.39,8.6,2,0.02,7,0
122,408,no,yes,38,301.5,99,43.6,30.1,152,6.39,323.4,51,0.69,1.6,1,4.22,5,1
92,510,no,no,28,57.4,99,14.85,41.9,137,10.55,13.9,40,12.79,15.5,2,1.43,8,0
164,415,no,no,44,9.1,45,52.91,194.6,78,8.74,138.0,174,14.1,5.1,1,3.78,4,0
90,408,no,no,2,31.5,59,33.12,185.7,37,20.06,262.1,86,15.42,14.1,12,2.86,0,0
136,510,no,yes,50,100.3,136,31.73,98.6,141,24.84,51.6,87,9.28,9.5,12,1.11,4,0
186,408,yes,no,46,340.3,155,15.62,300.2,157,5.76,93.2,170,7.69,12.2,1,3.24,6,0
60,408,no,no,36,195.5,96,49.27,67.9,39,16.89,211.5,36,14.89,1.1,19,3.82,6,0
178,408,no,no,30,130.6,2,33.79,130.9,139,11.03,376.5,122,6.78,17.8,18,2.37,3,0
28,510,no,yes,10,311.1,135,9.18,201.7,141,15.17,113.5,63,11.14,4.9,8,3.74,5,0
220,510,no,yes,21,158.6,113,12.17,314.8,128,18.62,192.6,152,10.46,13.4,4,2.02,5,1
101,408,no,no,17,110.3,115,27.63,151.9,67,26.81,158.0,118,6.33,16.0,6,4.9,0,0
41,415,no,yes,34,329.4,57,46.0,144.7,48,5.77,354.5,149,1.48,10.8,12,1.2,4,1
228,415,no,no,5,297.3,69,55.42,210.4,17,2.61,28.4,170,0.36,6.7,0,3.89,6,0
192,510,no,yes,2,295.3,92,39.15,115.0,163,18.82,223.6,123,7.28,19.6,8,3.75,4,0
155,510,no,no,4,179.3,139,29.86,257.4,63,11.82,334.2,35,8.18,5.6,1,2.65,7,0
191,510,no,no,8,276.3,136,14.79,90.3,95,4.89,390.3,45,13.99,19.0,2,1.75,0,0
145,510,no,no,27,62.8,104,39.7,298.8,27,3.51,276.0,21,7.04,3.1,11,2.23,8,0
201,510,no,no,18,200.6,48,57.95,98.9,159,16.77,150.1,34,4.78,7.8,4,3.15,1,0
161,415,no,no,27,344.3,82,28.1,360.4,24,9.01,162.7,112,7.86,2.8,11,2.65,7,1
212,510,no,yes,26,101.8,16,9.57,114.9,147,29.92,138.9,174,4.05,0.0,3,3.81,4,1
205,408,no,yes,12,278.0,53,6.1,319.0,160,12.18,238.4,32,1.55,5.2,11,1.8,6,1
220,408,no,no,37,171.7,111,15.89,144.2,29,6.37,292.1,140,1.92,1.7,4,0.54,6,0
240,415,no,no,42,13.9,159,33.6,89.3,164,18.87,323.7,55,5.43,19.7,13,2.53,0,0
157,408,no,no,20,267.1,162,55.86,82.1,101,7.33,164.6,66,0.22,15.2,13,1.3,7,0
141,415,no,no,26,59.0,48,17.65,308.6,116,14.82,283.1,12,3.74,0.1,9,3.08,2,0
46,415,no,no,45,221.0,143,18.02,112.1,105,14.48,361.9,49,13.39,4.5,9,2.6,3,0
35,408,no,no,5,30.0,84,28.39,122.9,73,13.61,363.7,27,3.99,13.4,4,3.89,2,0
134,510,no,yes,37,331.4,11,54.19,71.5,68,23.88,278.1,103,1.88,8.0,17,2.88,1,0
82,408,no,no,48,102.1,125,24.72,349.0,7,6.5,251.6,97,16.13,16.6,16,2.15,6,0
115,408,no,no,10,79.3,97,13.17,88.8,122,27.13,210.0,95,10.58,10.1,9,0.6,4,0
197,415,no,no,46,45.2,135,9.62,89.8,96,23.74,72.4,86,1.02,13.1,10,0.6,6,1
47,408,no,no,40,331.1,148,26.96,342.6,100,9.99,48.8,87,1.06,11.9,14,3.2,0,0
153,415,yes,no,16,249.2,47,47.24,327.0,0,5.42,191.9,151,10.41,12.8,18,4.4,1,0
194,510,no,no,38,259.6,135,17.19,90.4,94,8.39,63.0,124,9.18,4.6,11,2.07,5,0
10,510,no,no,6,174.8,27,30.24,313.9,6,9.98,227.9,80,1.16,7.5,15,2.65,5,0
56,510,no,yes,29,166.2,79,35.58,90.7,61,16.71,255.1,6,3.81,1.0,11,2.96,2,0
30,408,no,yes,20,38.5,9,26.58,30.7,110,1.39,207.6,73,15.79,11.8,18,2.39,0,0
242,415,no,no,0,195.9,51,11.31,297.8,86,27.43,14.4,82,9.72,9.2,2,0.3,2,0
109,510,no,no,24,86.4,142,54.38,280.1,86,2.96,22.8,23,7.49,15.2,12,2.95,3,0
5,415,no,no,31,342.0,131,33.36,107.0,122,8.38,44.8,136,4.25,4.1,14,0.69,0,1
119,415,no,yes,7,278.8,89,43.02,32.7,7,3.28,60.7,113,2.27,8.7,16,2.78,6,1
33,510,no,yes,4,144.5,61,37.53,74.9,63,7.7,391.0,14,6.84,3.6,10,3.88,2,0
118,510,no,no,29,53.0,106,58.88,279.9,135,25.13,136.1,112,15.68,12.3,11,0.03,7,1
65,415,no,no,50,274.9,131,26.92,350.2,130,18.46,115.3,121,0.83,17.0,16,2.15,6,1
146,510,no,no,7,42.7,40,25.07,94.0,126,6.82,20.6,85,16.85,15.3,4,3.73,5,0
224,415,no,no,48,66.3,98,21.25,297.0,126,26.15,251.0,144,3.53,18.9,4,2.64,7,1
239,415,no,yes,18,74.0,54,21.34,82.7,159,24.02,257.6,18,6.95,19.4,6,1.18,8,0
177,510,no,no,43,194.9,27,16.27,246.7,115,22.61,69.3,8,0.77,15.4,2,3.49,1,0
11,408,no,no,29,275.5,100,57.86,30.4,48,25.43,363.1,63,9.94,5.7,2,3.92,8,1
85,510,no,yes,14,110.0,46,51.38,212.5,165,18.59,316.2,37,8.22,4.4,16,1.81,4,0
26,408,no,no,35,29.6,136,18.68,97.7,129,15.04,91.0,135,11.33,9.0,1,1.49,0,0
63,415,no,yes,43,162.6,129,18.01,336.1,126,11.22,191.9,133,9.23,19.9,14,2.73,0,0
217,415,no,yes,26,261.8,116,6.11,105.2,136,6.71,181.1,101,6.77,8.3,18,1.83,6,0
86,408,no,yes,12,77.6,107,51.74,144.6,45,16.72,137.7,172,12.54,4.0,9,4.18,5,0
59,415,no,yes,13,77.0,68,21.93,305.2,64,26.68,323.0,148,0.43,18.9,10,3.9,8,0
27,408,no,no,36,331.5,27,33.78,159.1,156,17.82,43.2,92,9.2,7.7,8,1.56,0,0
177,408,no,no,47,334.0,78,53.12,86.5,89,27.59,164.0,33,1.94,13.8,13,2.28,6,1
205,415,no,no,29,346.7,13,24.08,198.8,28,10.71,169.1,139,7.41,15.8,6,4.45,7,1
161,408,no,no,38,282.7,45,47.61,304.9,32,20.85,185.1,38,13.45,16.9,9,0.74,3,0
98,510,yes,yes,46,65.9,140,25.39,157.2,27,19.46,340.2,95,2.42,16.4,0,3.77,0,0
105,510,yes,yes,12,74.2,15,41.36,48.2,94,20.11,86.2,5,15.91,16.7,0,1.58,2,0
99,415,no,no,15,119.1,157,25.44,139.1,82,19.35,40.7,80,15.1,13.4,13,0.6,1,0
129,415,no,no,43,111.3,80,23.17,346.5,111,6.65,244.0,31,7.05,8.1,7,0.58,2,0
149,408,no,yes,6,334.8,57,58.45,26.1,153,4.31,68.7,135,0.1,13.3,13,1.38,5,1
240,408,no,no,47,276.2,47,36.13,148.3,113,29.36,29.6,165,13.43,16.7,6,2.74,2,1
55,408,no,no,26,253.4,48,21.68,235.2,28,1.36,168.5,146,14.98,7.0,17,4.54,3,0
6,408,no,no,44,65.1,88,15.21,28.5,138,14.03,86.8,8,2.97,5.9,8,1.51,0,0
220,510,no,no,34,318.3,129,2.35,125.2,101,12.75,142.7,155,15.58,6.9,14,1.0,5,1
209,510,no,yes,14,289.8,13,41.69,341.4,161,10.8,102.6,61,15.54,11.0,0,2.39,1,0
197,415,no,no,27,57.3,102,21.96,11.1,103,23.46,36.6,113,8.01,1.0,10,0.78,3,0
95,408,no,yes,34,304.9,120,48.45,272.9,47,22.36,221.3,166,13.57,15.6,18,1.36,4,1
133,408,no,no,6,95.3,144,21.47,305.4,154,27.16,10.7,18,7.56,2.8,9,4.93,4,1
102,415,no,yes,49,28.3,122,22.03,100.6,123,11.86,381.7,32,9.59,2.7,17,2.79,3,0
3,408,no,no,45,229.9,158,45.97,77.9,167,16.93,134.8,63,5.44,4.0,3,3.92,2,0
181,408,no,yes,49,228.8,137,28.88,332.1,158,26.77,274.6,25,2.71,11.5,17,1.06,3,0
23,408,yes,no,50,33.2,69,52.21,277.3,166,29.82,320.1,172,12.69,5.7,17,2.6,2,0
229,408,no,no,45,111.6,102,34.82,41.2,110,29.08,110.2,0,0.02,7.4,19,2.55,2,0
53,408,no,no,19,347.5,101,14.2,77.0,23,21.54,295.8,162,9.85,18.6,11,4.06,3,0
165,415,no,no,31,237.4,164,33.53,225.6,22,4.3,328.8,76,14.7,16.9,8,0.11,8,1
202,408,no,no,37,255.5,63,0.24,152.2,154,0.7,95.3,102,3.76,17.0,17,4.3,8,1
202,415,no,no,39,74.5,157,18.43,183.0,15,24.76,392.0,95,5.66,11.6,5,0.4,7,0
83,408,no,no,31,27.6,161,12.27,345.4,26,25.23,8.2,172,9.99,17.3,18,4.58,3,1
145,510,no,no,25,96.9,17,38.6,152.5,132,22.39,85.7,75,4.2,15.6,19,0.71,1,0
85,510,no,no,38,87.1,62,8.03,320.1,34,8.4,308.1,32,14.41,19.1,14,2.66,8,0
78,510,no,no,19,82.1,48,17.12,239.9,55,19.19,76.7,81,6.23,1.3,4,0.5,5,0
201,510,no,no,17,67.5,55,19.55,44.1,126,9.49,275.8,68,9.89,0.6,10,2.24,7,0
110,415,yes,no,49,201.2,90,0.19,270.3,151,13.52,337.9,82,3.84,3.5,12,1.5,3,1
1,415,no,no,14,114.8,57,2.76,188.8,137,11.47,378.9,158,0.7,18.6,1,2.1,7,1
51,408,no,no,21,287.1,154,18.36,81.7,37,27.41,187.3,105,2.95,12.1,7,2.73,5,1
173,510,no,no,50,64.4,54,13.12,105.1,8,7.02,383.6,101,0.79,8.5,10,2.3,5,0
205,415,no,yes,21,162.6,84,6.9,202.3,68,17.33,162.6,113,7.97,10.3,17,0.12,5,1
4,408,no,no,20,4.8,18,9.1,218.4,166,10.83,86.2,142,9.97,16.6,9,4.32,8,0
190,408,no,no,1,168.6,150,49.3,351.4,4,19.89,203.0,45,0.76,18.6,0,0.47,0,0
193,415,no,no,39,19.5,102,40.32,310.3,83,16.94,256.7,119,1.54,14.6,3,4.9,0,0
113,510,no,no,42,342.2,111,28.56,74.7,138,27.72,180.9,47,8.25,15.2,16,4.26,4,0
232,408,no,yes,17,276.7,107,53.62,281.0,59,3.05,224.0,67,13.59,6.4,16,2.81,0,1
32,510,no,no,22,171.5,46,1.74,3.0,154,6.62,164.5,82,10.68,9.3,4,1.23,8,1
34,510,yes,no,12,30.3,106,20.35,47.1,134,22.99,207.3,84,1.78,17.7,2,0.43,3,0
92,510,no,no,40,207.4,83,48.58,72.5,66,11.06,376.3,125,15.09,15.7,6,3.36,1,0
95,408,no,yes,8,265.6,155,37.07,216.8,68,4.97,197.4,167,15.6,13.7,4,1.01,2,0
72,510,no,no,48,66.8,127,57.92,70.7,76,15.1,100.0,120,5.52,1.3,9,3.67,8,0
39,408,no,no,6,198.9,57,55.73,132.6,143,19.56,299.7,128,10.47,0.8,6,4.16,7,0
154,510,no,yes,40,285.0,142,10.03,88.1,117,1.34,133.3,19,8.37,2.6,16,4.94,2,0
162,408,no,no,0,268.9,143,57.35,122.5,11,8.75,322.4,149,16.01,11.6,16,2.52,7,1
182,510,no,yes,1,281.0,96,55.79,342.1,26,24.28,22.5,64,8.65,10.7,6,4.87,3,0
118,415,no,no,3,307.8,46,22.04,362.0,160,15.61,131.2,142,16.32,18.9,5,0.75,5,1
3,510,no,yes,13,328.2,139,57.99,248.9,84,1.06,37.3,60,3.39,13.9,8,4.18,3,0
123,510,no,yes,31,141.9,102,2.11,207.7,107,8.46,33.7,78,5.87,5.9,7,1.8,4,0
50,408,yes,no,35,199.1,83,38.98,257.2,54,19.17,260.1,13,13.28,3.2,13,1.82,8,1
12,408,no,yes,1,276.7,156,15.7,280.1,51,5.98,152.2,68,13.32,17.0,5,1.34,1,0
193,510,no,yes,39,244.0,48,7.64,268.3,36,24.82,344.2,121,12.45,9.2,8,0.87,8,0
54,415,no,no,49,348.4,130,34.07,29.7,112,20.3,204.0,48,14.61,13.1,19,2.21,2,0
236,415,no,no,50,4.8,111,18.07,112.6,119,14.14,116.7,133,11.94,11.3,10,4.94,4,0
133,408,no,no,13,124.3,59,39.34,124.7,14,27.47,284.8,168,10.81,2.1,10,1.65,6,0
222,415,no,no,19,98.4,65,31.86,134.0,83,11.75,246.5,158,7.8,1.1,7,2.31,1,0
222,510,no,no,24,91.8,86,23.16,125.0,82,7.05,315.8,115,7.94,7.5,2,1.14,3,0
57,408,no,no,41,77.9,125,10.73,285.7,64,19.84,254.2,89,6.9,7.2,10,1.69,0,0
145,510,no,yes,48,248.2,25,35.47,271.4,2,17.2,66.0,88,10.54,13.5,3,0.28,2,0
112,408,no,yes,7,29.7,70,48.92,1.7,104,10.06,264.8,116,6.91,12.6,2,4.78,5,1
47,408,no,no,27,259.6,73,35.4,107.6,132,10.31,154.7,121,2.51,19.4,12,2.55,1,0
151,408,no,no,45,242.7,46,36.02,226.4,136,11.95,182.9,167,1.81,17.2,18,3.66,7,0
207,408,no,no,20,87.8,75,30.2,43.7,128,8.73,364.0,14,15.72,9.9,7,2.57,6,0
229,415,no,no,22,88.5,95,22.91,25.8,29,21.31,142.2,6,0.42,10.0,0,3.85,2,0
85,510,no,no,31,220.1,30,26.99,300.7,70,19.54,241.7,53,1.79,13.5,7,2.67,0,0
142,510,no,yes,7,266.8,21,58.38,164.3,147,13.22,143.6,3,7.57,2.3,8,3.51,3,0
66,510,no,yes,30,306.8,16,44.23,310.6,92,11.94,37.4,0,4.47,20.0,5,3.42,3,1
75,408,no,no,36,298.2,147,25.4,298.9,26,10.95,179.1,104,6.9,10.4,10,2.67,4,1
179,415,no,no,15,337.7,135,26.98,324.3,62,8.5,235.8,65,2.0,18.2,9,1.15,2,0
103,510,no,no,39,203.5,97,29.48,17.5,80,2.57,161.0,162,2.23,19.3,2,1.06,1,0
166,415,no,yes,41,318.0,48,38.9,67.6,30,8.05,154.3,80,13.61,11.6,7,4.37,1,0
192,408,no,no,26,283.0,86,27.49,107.5,146,9.64,324.0,137,12.9,2.1,4,0.6,7,1
226,510,no,no,39,313.1,37,40.48,49.5,113,16.43,11.7,67,1.77,11.5,1,2.8,6,1
38,415,no,yes,40,4.1,52,19.42,176.2,101,23.21,116.8,101,11.35,12.0,15,2.51,0,0
50,408,no,no,17,338.1,27,24.23,290.0,92,11.87,320.6,50,10.36,15.8,0,3.99,8,0
98,415,yes,no,34,165.7,76,50.98,345.3,134,28.34,363.6,29,12.13,1.0,1,0.68,2,0
82,510,no,no,48,279.4,156,19.41,322.9,164,24.82,162.9,38,8.07,9.3,2,3.44,2,0
30,510,no,no,14,44.5,138,56.9,166.0,70,29.54,351.1,137,4.59,18.5,8,3.03,0,0
79,408,no,yes,26,138.6,17,10.18,231.0,85,26.29,78.6,171,11.28,19.8,16,3.51,3,0
91,408,no,no,16,95.0,49,14.26,83.7,135,18.5,87.5,159,6.31,3.8,11,3.11,1,0
179,408,no,yes,39,102.1,88,27.36,146.3,27,17.95,334.2,171,3.72,17.4,1,2.81,2,0
191,415,no,no,1,43.1,149,47.05,316.2,81,3.89,356.8,62,6.95,2.9,1,4.63,0,0
226,415,no,no,48,282.0,44,43.16,10.6,94,21.67,88.0,60,12.98,16.8,18,1.74,2,1
52,415,no,no,49,3.2,126,10.29,193.4,16,18.01,23.4,64,8.09,5.5,19,0.92,3,0
166,408,no,no,30,109.4,92,13.96,316.8,138,15.21,35.7,168,5.1,19.2,16,3.98,5,0
225,510,no,no,36,61.0,20,33.94,44.3,142,20.8,103.2,80,14.14,13.9,16,0.65,2,1
216,510,no,no,40,206.2,75,17.41,356.7,157,13.32,300.8,11,14.99,8.0,12,3.4,5,0
79,415,yes,no,40,89.0,163,24.92,4.5,94,15.72,201.4,123,7.37,5.6,11,2.75,1,0
30,415,no,no,33,90.6,151,28.71,321.7,120,11.95,180.0,1,6.37,4.7,10,0.01,7,1
106,510,no,no,33,170.9,159,35.06,128.4,5,21.52,230.7,72,10.42,13.6,10,1.2,4,0
51,510,no,no,50,228.4,90,14.81,48.2,11,26.3,351.6,75,0.99,17.9,7,2.48,0,0
81,415,yes,no,2,42.5,95,9.63,57.1,86,25.23,35.7,24,11.75,15.1,17,1.65,5,1
133,415,no,no,16,61.4,95,23.52,254.5,102,23.58,274.4,117,13.3,16.7,3,2.13,2,0
29,510,no,no,13,86.5,74,4.84,316.1,103,0.41,366.1,107,6.76,15.6,17,3.01,3,0
132,408,no,yes,13,340.8,109,31.08,232.7,163,27.36,84.3,98,2.97,19.6,14,3.65,7,0
138,415,yes,yes,45,139.0,81,49.54,337.1,34,8.25,330.9,21,0.49,15.2,6,0.76,7,0
184,510,no,yes,37,209.6,127,7.02,305.8,66,26.64,275.7,55,10.83,4.2,14,1.41,7,1
145,510,no,no,34,84.5,102,6.65,3.3,105,5.91,5.7,148,4.57,15.8,18,3.18,4,1
74,510,no,no,0,171.7,132,4.73,243.0,91,13.19,91.5,54,7.89,6.4,16,2.94,0,0
17,510,no,no,47,25.9,143,50.02,110.6,62,22.48,239.3,39,6.57,19.9,9,3.68,8,0
84,408,no,no,28,12.2,138,4.76,165.0,82,19.21,198.4,149,2.97,7.5,10,3.2,8,0
216,510,no,no,3,164.1,34,58.02,34.1,167,12.48,208.5,155,8.64,5.9,13,1.65,7,0
69,415,yes,no,32,139.5,111,21.14,102.4,81,20.36,91.6,120,7.81,4.8,3,2.5,2,0
34,408,no,yes,16,47.9,86,19.4,229.7,30,16.47,266.6,3,10.61,13.2,3,4.42,5,1
6,510,no,yes,27,240.7,118,5.41,79.3,36,8.27,105.2,25,4.28,2.2,0,0.93,6,0
53,408,no,no,49,347.5,97,34.55,235.1,132,19.39,153.8,111,3.65,19.1,11,1.88,3,0
194,415,no,no,25,138.5,80,34.57,335.1,114,6.13,145.7,112,13.84,5.9,6,4.21,6,1
205,510,no,no,7,218.6,137,29.13,1.8,120,20.82,265.4,22,11.94,5.9,4,1.82,8,0
126,415,no,yes,33,337.0,81,18.35,285.2,131,0.09,35.6,168,13.13,0.9,0,2.06,5,1
235,510,yes,no,17,291.0,135,21.75,232.8,117,16.46,81.2,57,2.1,4.9,7,1.6,1,0
43,510,no,yes,30,162.2,25,18.91,16.9,153,12.03,79.2,7,3.81,8.4,17,4.5,5,0
240,510,no,yes,26,258.1,2,25.14,286.8,151,9.09,42.8,115,9.78,7.4,12,3.32,2,0
203,510,yes,yes,15,44.8,58,20.17,81.5,166,15.47,82.0,50,14.57,5.5,16,1.04,6,1
115,510,yes,yes,9,179.2,115,39.86,96.5,37,19.36,239.8,0,15.17,0.8,1,3.75,2,0
111,408,no,no,39,97.7,130,17.45,33.9,109,28.96,289.2,119,14.14,6.0,5,0.19,7,1
151,510,no,yes,11,56.4,129,20.7,194.0,146,24.99,260.8,29,0.74,15.6,3,1.98,4,0
183,510,yes,no,21,149.2,144,25.69,180.9,25,21.51,187.7,16,13.95,8.8,7,4.55,2,0
80,408,no,no,15,45.9,35,0.23,126.0,126,14.37,20.7,150,15.28,5.8,14,3.45,0,1
95,408,no,yes,11,244.6,85,29.03,61.3,51,11.76,378.8,101,0.96,6.1,4,3.97,4,1
203,408,no,yes,10,159.7,97,15.09,304.2,117,0.98,66.4,121,7.08,11.1,19,4.66,2,0
118,408,no,no,19,185.9,123,3.31,318.1,60,10.77,264.0,151,9.12,6.0,10,3.87,3,0
144,408,yes,yes,50,51.2,72,53.75,196.2,149,25.45,360.6,85,3.96,12.6,7,0.44,3,0
